2024-12-05 13:28:33 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:34 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:34 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:37 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:37 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:38 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:38 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:40 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:28:42 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 13:36:04 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 14:02:08 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 14:02:11 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
2024-12-05 14:02:15 [ERROR]: File: CartController.js, func: getCartData, error: error is not defined
